"グループID","グループ名","説明","コメント","無効","作成者","更新者","更新日時","メンバー種別","メンバーキー","メンバー名","メンバーは管理者"
"41459","役員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User11","中村 隆","False"
"41459","役員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User20","村上 佳奈","False"
"41458","部長","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User10","山本 陽子","False"
"41458","部長","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User19","井上 健一","False"
"41457","課長","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User9","渡邉 博","False"
"41457","課長","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User18","松本 美咲","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User2","佐藤 由香","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User3","高橋 一郎","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User4","斎藤 美樹","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User5","Wilson Daniel","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User6","Brown Emily","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User7","鈴木 洋一","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User8","田中 恵子","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User12","小林 佳子","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User13","加藤 誠","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User14","吉田 結","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User15","伊藤 大輔","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User16","佐々木 春香","False"
"41456","社員","","","","","","2026/02/17 火 12:48:20","User","Tenant23758_User17","山口 太郎","False"
